Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,Web,Catalog,Store,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Food_Expense,Age,Living_With,Total_Offsprings,Year,Month,Day
Undergraduate,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,48,Partner,0,2012,November,13
Graduate,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,65,Alone,0,2013,November,15
Postgraduate,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,72,Alone,2,2013,November,15
Graduate,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,37,Partner,0,2012,October,10
Postgraduate,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,78,Alone,0,2012,November,24
Graduate,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,44,Partner,2,2012,December,24
Graduate,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,78,Partner,0,2012,August,31
Postgraduate,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,75,Partner,1,2013,March,28
Undergraduate,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,39,Alone,1,2012,November,3
Graduate,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,42,Partner,0,2012,August,8
Graduate,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,45,Partner,1,2013,January,6
Postgraduate,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,75,Partner,1,2012,December,23
Postgraduate,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,70,Partner,1,2014,January,11
Graduate,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,73,Partner,1,2013,March,18
Graduate,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,75,55,Alone,0,2013,January,2
Graduate,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,257,48,Partner,2,2013,May,27
Graduate,Single,,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,637,38,Alone,1,2013,February,20
Postgraduate,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672,59,Partner,0,2013,November,22
Postgraduate,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,61,Partner,0,2013,May,11
Graduate,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,54,Partner,1,2012,October,10
Postgraduate,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,302,72,Alone,2,2012,October,29
Postgraduate,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1196,78,Partner,0,2013,February,20
Postgraduate,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,73,Alone,2,2013,August,29
Postgraduate,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,913,54,Partner,1,2013,December,31
Undergraduate,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,81,48,Partner,1,2013,September,2
Graduate,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,51,Alone,1,2014,February,11
Graduate,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1395,44,Partner,1,2013,April,29
Postgraduate,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,53,39,Partner,1,2013,March,12
Graduate,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,67,Partner,1,2012,December,24
Postgraduate,Single,,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,186,65,Alone,0,2013,November,5
Postgraduate,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,31,49,Partner,1,2013,October,2
Graduate,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,984,48,Alone,0,2014,June,28
Graduate,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,56,Partner,1,2013,May,24
Graduate,Single,,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,124,73,Alone,3,2014,January,1
Postgraduate,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1319,70,Partner,2,2012,November,8
Graduate,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,507,67,Alone,1,2014,May,12
Postgraduate,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1693,60,Partner,0,2012,August,11
Graduate,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,72,47,Alone,1,2013,January,2
Graduate,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1617,47,Alone,0,2014,June,7
Graduate,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,606,46,Partner,2,2013,June,12
Postgraduate,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957,69,Partner,0,2012,November,19
Graduate,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1093,58,Alone,0,2013,April,2
Graduate,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,36,Alone,1,2014,April,28
Graduate,Single,,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,46,42,Alone,1,2013,June,17
Postgraduate,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,56,Partner,1,2014,March,3
Postgraduate,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438,42,Alone,0,2013,July,4
Graduate,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,612,49,Partner,2,2012,September,7
Graduate,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,884,72,Alone,1,2013,February,18
Postgraduate,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,73,Alone,1,2013,June,11
Graduate,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1076,76,Partner,0,2013,December,6
Graduate,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,34,53,Partner,1,2013,May,21
Graduate,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,57,Partner,2,2014,May,11
Undergraduate,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1274,45,Alone,1,2014,March,19
Graduate,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,653,66,Partner,1,2013,September,27
Graduate,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1562,54,Partner,3,2013,April,8
Postgraduate,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1253,70,Partner,0,2012,September,11
Undergraduate,Married,,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,109,51,Partner,1,2012,September,14
Graduate,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,863,65,Partner,1,2013,March,17
Postgraduate,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661,49,Partner,2,2013,April,5
Graduate,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,65,72,Partner,0,2014,April,30
Graduate,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13,47,Alone,1,2012,December,19
Postgraduate,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890,52,Partner,0,2012,August,27
Graduate,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2209,48,Alone,0,2012,October,12
Undergraduate,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,48,Partner,0,2013,September,4
Graduate,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,59,Partner,0,2013,January,2
Graduate,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,165,39,Alone,1,2012,August,29
Graduate,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,55,Partner,1,2013,June,23
Undergraduate,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,79,51,Partner,1,2013,July,3
Postgraduate,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,61,Partner,0,2013,May,11
Graduate,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,778,37,Alone,0,2014,February,25
Graduate,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,56,64,Partner,2,2013,August,11
Postgraduate,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,54,Partner,2,2013,July,16
Graduate,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,372,67,Alone,1,2014,May,28
Graduate,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1366,51,Partner,0,2014,May,12
Graduate,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,194,57,Partner,1,2014,January,21
Postgraduate,Married,,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,603,67,Partner,3,2012,November,19
Graduate,Single,,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,18,67,Alone,2,2014,May,27
Postgraduate,Together,,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,985,51,Partner,0,2013,November,23
Postgraduate,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,32,52,Alone,1,2014,March,23
Postgraduate,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,43,54,Partner,1,2014,May,24
Graduate,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45,41,Partner,1,2014,May,22
Graduate,Widow,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,64,Alone,1,2012,November,22
Graduate,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,63,52,Alone,2,2013,April,11
Undergraduate,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978,73,Partner,0,2013,December,1
Postgraduate,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,410,41,Partner,0,2013,June,20
Undergraduate,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,72,64,Alone,1,2013,July,23
Postgraduate,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,65,Alone,1,2014,March,30
Graduate,Together,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1169,45,Partner,1,2013,April,20
Postgraduate,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1120,79,Partner,0,2013,May,17
Graduate,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1097,65,Partner,0,2014,May,8
Undergraduate,Together,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,45,Partner,1,2013,December,10
Graduate,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,187,60,Partner,2,2013,September,24
Graduate,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,910,55,Partner,2,2013,February,2
Graduate,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,145,46,Alone,1,2012,December,19
Postgraduate,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850,64,Partner,0,2012,December,7
Graduate,Together,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,969,45,Partner,1,2013,November,2
Postgraduate,Together,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,608,61,Partner,1,2014,June,25
Postgraduate,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,551,44,Partner,1,2012,December,12
Graduate,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,114,62,Alone,2,2013,September,10
Graduate,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1724,54,Partner,0,2014,January,24
Undergraduate,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,577,46,Partner,1,2013,February,19
Undergraduate,Together,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,81,57,Partner,2,2013,July,11
Graduate,Together,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,33,55,Partner,1,2013,November,14
Postgraduate,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,660,71,Partner,1,2013,June,20
Postgraduate,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,80,57,Alone,1,2014,February,24
Postgraduate,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,30,39,Partner,2,2013,September,4
Graduate,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,43,48,Alone,1,2013,April,22
Graduate,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,1135,41,Alone,0,2013,March,12
Undergraduate,Together,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,559,59,Partner,0,2013,February,18
Graduate,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,1923,40,Alone,0,2013,April,21
Postgraduate,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,90,71,Partner,2,2014,June,8
Postgraduate,Married,,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,404,63,Partner,1,2013,July,11
Postgraduate,Together,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,661,68,Partner,2,2014,May,10
Graduate,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,463,72,Partner,1,2013,September,30
Postgraduate,Alone,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,632,66,Alone,2,2013,March,10
Graduate,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,725,55,Partner,0,2014,February,10
Graduate,Married,,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0,725,61,Partner,1,2013,August,11
Postgraduate,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,279,60,Partner,2,2013,August,14
Postgraduate,Together,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,1482,57,Partner,0,2013,March,17
Undergraduate,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,29,48,Alone,1,2012,August,8
Postgraduate,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,106,65,Partner,3,2013,July,7
Postgraduate,Alone,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,49,51,Alone,2,2014,May,19
Postgraduate,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,38,59,Alone,2,2013,July,28
Postgraduate,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,1053,48,Partner,1,2013,November,14
Graduate,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,1385,62,Partner,0,2013,April,19
Postgraduate,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,871,50,Alone,1,2013,August,28
Graduate,Together,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,312,36,Partner,1,2013,March,19
Graduate,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,877,48,Partner,2,2012,October,18
Graduate,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,68,49,Partner,1,2012,October,28
Graduate,Together,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,22,43,Partner,1,2013,August,28
Undergraduate,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,211,51,Partner,3,2012,August,22
Postgraduate,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0,127,58,Partner,0,2014,June,21
Postgraduate,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0,459,71,Partner,2,2014,April,24
Graduate,Married,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0,460,55,Partner,1,2014,March,7
Undergraduate,Together,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0,429,52,Partner,1,2012,December,14
Graduate,Alone,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0,89,36,Alone,1,2014,May,12
Postgraduate,Together,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0,1021,72,Partner,1,2012,October,9
Graduate,Together,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1,1381,75,Partner,0,2013,February,19
Graduate,Single,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0,306,66,Alone,1,2013,July,8
Graduate,Single,60199.0,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0,18,46,Alone,3,2013,September,12
Graduate,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0,162,47,Partner,1,2013,October,17
Graduate,Single,80317.0,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0,1231,69,Alone,0,2013,August,20
Postgraduate,Single,30523.0,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0,13,66,Alone,3,2013,July,1
Postgraduate,Married,70356.0,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0,1706,79,Partner,0,2012,November,5
Graduate,Married,23228.0,1,0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0,121,40,Partner,1,2014,January,5
Postgraduate,Divorced,74165.0,0,0,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0,1293,49,Alone,0,2013,May,1
Postgraduate,Married,157243.0,0,1,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0,1608,51,Partner,1,2014,March,1
Graduate,Together,43482.0,2,1,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0,88,58,Partner,3,2013,November,13
Graduate,Divorced,62551.0,0,0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0,421,71,Alone,0,2013,November,18
Graduate,Divorced,52332.0,0,0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0,259,65,Alone,0,2013,August,28
